"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.772324750E0,5.882766724E-2,1.320404205E0,9.822573853E0
5.792434750E0,7.349716187E-2,1.340013428E0,9.759255524E0
5.812545750E0,2.634521484E-2,1.360820160E0,9.673184509E0
5.832656750E0,3.083587646E-2,1.352886658E0,9.684261475E0
5.852767750E0,8.547225952E-2,1.331630859E0,9.751022644E0
5.872877750E0,6.721023560E-2,1.376088409E0,9.721983032E0
5.892988750E0,6.182144165E-2,1.337917786E0,9.755662994E0
5.913099750E0,6.810836792E-2,1.320553894E0,9.737101593E0
5.933209750E0,8.637039185E-2,1.356329498E0,9.706864471E0
5.953320750E0,6.256988525E-2,1.348246307E0,9.705816650E0
5.973431750E0,6.915618896E-2,1.362466736E0,9.679172058E0
5.993542750E0,4.954696655E-2,1.325643311E0,9.673932953E0
6.013652750E0,8.846603394E-2,1.313219147E0,9.663305054E0
6.033763750E0,3.442840576E-3,1.354982300E0,9.712552643E0
6.053874750E0,1.242416382E-2,1.284778290E0,9.766440582E0
6.073985750E0,2.829116821E-2,1.295855255E0,9.821675720E0
6.094095750E0,2.305206299E-2,1.322200470E0,9.792037354E0
6.114206750E0,5.328918457E-2,1.340761871E0,9.689799957E0
6.134317750E0,6.676116943E-2,1.357077942E0,9.640552368E0
6.154427750E0,7.244934082E-2,1.349443817E0,9.732760620E0
6.174538750E0,1.062789917E-1,1.348994751E0,9.805209961E0
6.194649750E0,6.855743408E-2,1.351240082E0,9.800120544E0
6.214760750E0,6.870712280E-2,1.318009186E0,9.715546417E0
6.234870750E0,6.002517700E-2,1.301693115E0,9.710606689E0
6.254981750E0,1.317260742E-2,1.306034088E0,9.777517548E0
6.275092750E0,3.951782227E-2,1.262324982E0,9.837991791E0
6.295203750E0,4.221221924E-2,1.329086151E0,9.737850037E0
6.315313750E0,-3.053649902E-2,1.341959381E0,9.562863922E0
6.335424125E0,-2.484832764E-2,1.348395996E0,9.613309021E0
6.355535125E0,-8.382568359E-3,1.355581055E0,9.614955597E0
6.375646125E0,4.864883423E-2,1.294807434E0,9.566755829E0
6.395756125E0,7.095245361E-2,1.238225098E0,9.655072174E0
6.415867125E0,4.326004028E-2,1.190923462E0,9.838889923E0
6.435978125E0,8.981323242E-3,1.231938171E0,9.935738525E0
6.456088125E0,3.143463135E-3,1.256487122E0,9.946965179E0
6.476199125E0,5.418731689E-2,1.278341675E0,9.767338715E0
6.496310125E0,-9.280700684E-3,1.315314789E0,9.638905792E0
6.516421125E0,1.601669312E-2,1.319955139E0,9.693991241E0
6.536531125E0,6.331832886E-2,1.327738953E0,9.687854004E0
6.556642125E0,6.077362061E-2,1.334025879E0,9.630672913E0
6.576753125E0,4.206253052E-2,1.309776306E0,9.647438049E0
6.596863125E0,3.562591553E-2,1.303788757E0,9.751771088E0
6.616974125E0,3.802093506E-2,1.292861481E0,9.811945953E0
6.637085125E0,7.170089722E-2,1.274449768E0,9.797725525E0
6.657196125E0,7.993377686E-2,1.307381287E0,9.748627625E0
6.677306125E0,5.733078003E-2,1.333726501E0,9.671837311E0
6.697417125E0,7.499404907E-2,1.329086151E0,9.721683655E0
6.717528125E0,2.035766602E-2,1.363364868E0,9.654174042E0
6.737638125E0,2.769241333E-2,1.294807434E0,9.654024353E0
6.757749125E0,1.272354126E-2,1.244212646E0,9.754166107E0
6.777860125E0,1.646575928E-3,1.299148407E0,9.805509338E0
6.797971125E0,-1.766326904E-2,1.304836578E0,9.778415680E0
6.818081125E0,-1.451980591E-2,1.307381287E0,9.839039612E0
6.838192125E0,4.146377563E-2,1.262923737E0,9.706565094E0
6.858303125E0,3.338058472E-2,1.313817902E0,9.699679413E0
6.878413125E0,1.104702759E-1,1.306782532E0,9.628876648E0
6.898524125E0,1.191522217E-1,1.338516541E0,9.698781281E0
6.918635125E0,9.385482788E-2,1.338516541E0,9.675579529E0
6.938746125E0,3.861968994E-2,1.305435333E0,9.758507080E0
6.958856125E0,5.298980713E-2,1.297501831E0,9.798923035E0
6.978967125E0,8.173004150E-2,1.249302063E0,9.854307861E0
6.999078125E0,3.562591553E-2,1.277293854E0,9.827663269E0
7.019188125E0,6.286926270E-3,1.292412415E0,9.732012177E0
7.039299125E0,2.649490356E-2,1.340462494E0,9.630972290E0
7.059410125E0,2.305206299E-2,1.327738953E0,9.554181976E0
7.079521125E0,6.361770630E-2,1.307980042E0,9.635163574E0
7.099631125E0,6.077362061E-2,1.273551636E0,9.723779297E0
7.119742125E0,3.682342529E-2,1.291813660E0,9.808652802E0
7.139853125E0,-4.041595459E-3,1.328786774E0,9.759704590E0
7.159963125E0,7.035369873E-3,1.346899109E0,9.725425873E0
7.180074125E0,5.433700562E-2,1.344055023E0,9.672585754E0
7.200185125E0,6.017486572E-2,1.341210938E0,9.690249023E0
7.220296125E0,7.484436035E-2,1.330583038E0,9.745035095E0
7.240406125E0,9.145980835E-2,1.340761871E0,9.755363617E0
7.260517125E0,6.900650024E-2,1.337319031E0,9.742191010E0
7.280628125E0,6.107299805E-2,1.347647552E0,9.767488403E0
7.300738125E0,6.945556641E-2,1.362167358E0,9.731263733E0
7.320849125E0,4.460723877E-2,1.331630859E0,9.652527466E0
7.340960250E0,6.376739502E-2,1.323098602E0,9.695488129E0
7.361070250E0,5.583389282E-2,1.296004944E0,9.739346924E0
